PRO_COM;SEZ;SEZ2011;count;fid;max;min;value
15146;3820;151460003820;997;3335;7.33065938949585;0;0.741052380775138
15146;3825;151460003825;1511;3336;40.1882057189941;0;3.83075221810887
15146;3839;151460003839;936;3337;18.5234355926514;0;0.777560503054888
15146;3813;151460003813;765;3338;6.16913509368896;0;0.774203750510621
15146;3814;151460003814;879;3339;41.4340553283691;0;4.9752470847554
15146;3822;151460003822;423;3340;30.3432559967041;0;3.31919539792036
15146;3823;151460003823;1436;3341;37.656566619873;0;2.14848901435193
15146;3837;151460003837;694;3342;24.8531799316406;0;2.63056141086545
15146;3782;151460003782;957;3343;51.8788108825684;0;6.35064308222309
15146;3785;151460003785;2087;3344;54.9931411743164;0;6.99916802677288
15146;3788;151460003788;1934;3345;59.0801391601562;0;4.91751985441443
15146;3794;151460003794;651;3346;10.6331796646118;0;0.749587661110311
15146;3773;151460003773;1493;3347;58.3727569580078;0;10.2055922429672
15146;3778;151460003778;1258;3348;36.8488922119141;0;4.59697079317369
15146;3790;151460003790;699;3349;47.3196563720703;0;2.29532179061606
15146;3792;151460003792;990;3350;34.3475723266602;0;4.21559244791667
15146;3798;151460003798;975;3351;11.372820854187;0;0.794661207932692
15146;3800;151460003800;710;3352;30.0674285888672;0;3.64432183923856
15146;3802;151460003802;887;3353;18.8750324249268;0;2.23510315560703
15146;3810;151460003810;750;3354;3.6463508605957;0;0.377992553710937
15146;3826;151460003826;1364;3355;81.2436218261719;0;12.0490744134897
15146;3838;151460003838;780;3356;11.8101654052734;0;0.332818525265425
15146;3873;151460003873;807;3357;48.4428482055664;0;3.8730577660316
15146;3876;151460003876;1115;3358;28.5161037445068;0;0.836386313673627
15146;3885;151460003885;694;3359;32.6766738891602;0;3.02047966948847
15146;3832;151460003832;1385;3360;39.4606819152832;0;1.4914541967509
15146;3913;151460003913;536;3361;5.15975666046143;0;0.591875332504956
15146;3908;151460003908;794;3362;19.2993659973145;0;2.34857562086744
15146;3859;151460003859;730;3363;83.7689666748047;0;29.5286226455479
15146;3861;151460003861;2109;3364;73.1282958984375;0;10.5655107204244
15146;3862;151460003862;1268;3365;63.8402099609375;0;16.3927876084385
15146;3866;151460003866;1284;3366;34.1350746154785;0;3.87545823902356
15146;3868;151460003868;739;3367;12.5412540435791;0;1.09305292730886
15146;3875;151460003875;704;3368;28.8673973083496;0;5.6825925653631
15146;3877;151460003877;1134;3369;56.6172409057617;0;6.35340970155423
15146;3879;151460003879;980;3370;76.804573059082;0;11.1697614397321
15146;3881;151460003881;614;3371;12.7884349822998;0;2.29353059153603
15146;3886;151460003886;927;3372;43.8455810546875;0;3.77519678735167
15146;3888;151460003888;896;3373;12.0052795410156;0;1.01728207724435
15146;3833;151460003833;727;3374;64.8634948730469;0;9.00226879513411
15146;3864;151460003864;1578;3375;83.8437347412109;0;9.93635943936153
15146;3865;151460003865;1184;3376;61.5234107971191;0;15.2369731181377
15146;3830;151460003830;669;3377;11.5651512145996;0;0.72734044735029
15146;3911;151460003911;1630;3378;28.9387016296387;0;2.71126701495399
15146;3912;151460003912;622;3379;7.20508432388306;0;0.457656222524367
15146;3915;151460003915;1396;3380;9.37089729309082;0;0.646605221111658
15146;3898;151460003898;535;3381;6.45234394073486;0;0.385840300087617
15146;3860;151460003860;692;3382;82.5636672973633;0;16.1234561280708
15146;3869;151460003869;853;3383;13.6915435791016;0;1.0517525175392
15146;3874;151460003874;1658;3384;46.2362213134766;0;5.42115818663299
15146;3878;151460003878;1271;3385;53.8563270568848;0;9.80248927394768
15146;3887;151460003887;586;3386;9.14168071746826;0;0.568444886712084
15146;3918;151460003918;1760;3387;15.2363576889038;0;0.517513830011541
15146;3894;151460003894;906;3388;20.1829414367676;0;1.08664614106909
15146;3899;151460003899;1139;3389;19.5543823242188;0;1.81297777827316
15146;3907;151460003907;675;3390;41.3382606506348;0;2.96274866174769
15146;3909;151460003909;1067;3391;29.4180469512939;0;3.90131593398547
15146;3871;151460003871;786;3392;9.03451442718506;0;0.794922340917223
15146;3872;151460003872;995;3393;32.5718269348145;0;0.963999256536589
15146;3829;151460003829;1401;3394;18.3669948577881;0;0.776370324210385
15146;3919;151460003919;1906;3395;66.6758499145508;0;11.1031446747114
15146;3895;151460003895;839;3396;38.5105476379395;0;9.81415980706198
15146;3896;151460003896;983;3397;88.5514450073242;0;7.78032410350966
15146;3863;151460003863;1088;3398;72.758415222168;0;25.2647381950827
15146;3867;151460003867;997;3399;15.969669342041;0;0.786758407546859
15146;3880;151460003880;652;3400;14.6019887924194;0;0.622090719960219
15146;3882;151460003882;976;3401;20.7409400939941;0;1.53783379226434
15146;3917;151460003917;1032;3402;6.63675403594971;0;0.610018353129542
15146;3920;151460003920;473;3403;13.7270669937134;0;0.595787645142376
15146;3897;151460003897;694;3404;88.5514450073242;0;5.1992961432817
15146;3884;151460003884;709;3405;49.3049430847168;0;4.01160924828103
15146;3892;151460003892;817;3406;58.9883575439453;0;9.01262359432375
15146;3893;151460003893;908;3407;58.9883575439453;0;6.16656252151019
15146;3831;151460003831;1046;3408;18.3669948577881;0;1.18291477764998
15146;3910;151460003910;2460;3409;21.2974472045898;0;1.20820481215066
15146;3914;151460003914;1132;3410;6.21679782867432;0;0.622570024362301
