Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2015;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;22059168;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;156575;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;22059168;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;178668;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;7369368;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;4878975;
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;1169432;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;24009708;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;651450;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;1398191;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;172095;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;337330;
2016;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;2049641;
2016;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;3817172;
2016;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;1114655;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;559723;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;356591;
2016;Inversión total en protección ambiental de las empresas industriales;Otros;;;29706880;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;942560;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;170846;
2016;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;93192388;
2016;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;522345;
2016;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;897053;
2016;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;467063;
2016;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;20838951;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;110472;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;20838951;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;351499;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;5697172;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;3016002;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;801170;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;30980533;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;687372;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;9491053;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;333373;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;467053;
2017;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;10178425;
2017;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;6239686;
2017;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;1239424;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;1007417;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;241573;
2017;Inversión total en protección ambiental de las empresas industriales;Otros;;;38456256;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;906051;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;89062;
2017;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;96841223;
2017;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;212495;
2017;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;1474470;
2017;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;523132;
2017;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;18588624;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;281559;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;18588624;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;123433;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;7475723;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;4544248;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;1695438;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;25194834;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;539804;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;1542971;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;158759;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;459832;
2018;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;20868188;
2018;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;2082775;
2018;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;9302707;
2018;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;1331366;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;1455708;
