cod_estacion,nombre,tipo,latitud,longitud,activa,fecha,indice,debido_a
47186022,RENAULT 1,INDUSTRIAL,41.6,-4.7325,false,2025-09-30T07:00:00,0,
47186025,ENERGYWORKS-VA 1,INDUSTRIAL,41.66639,-4.715,false,2025-09-30T07:00:00,2,O3
47186026,ENERGYWORKS-VA 2,INDUSTRIAL,41.68333,-4.74111,true,2025-09-30T07:00:00,2,O3
47186027,ARCO DE LADRILLO II,TRAFICO,41.6456,-4.7303,true,2025-09-30T07:00:00,2,PM10
47186029,VEGA SICILIA,TRAFICO,41.6206,-4.7467,true,2025-09-30T07:00:00,2,O3
47186030,PUENTE REGUERAL,INDUSTRIAL,41.6561,-4.7339,true,2025-09-30T07:00:00,20,PM2.5
47186031,LA RUBIA II,TRAFICO,41.63,-4.74056,true,2025-09-30T07:00:00,10,PM10
47186032,VALLADOLID SUR,TRAFICO,41.6142,-4.7722,true,2025-09-30T07:00:00,2,O3
48002001,ABANTO,INDUSTRIAL,43.32052,-3.07414,true,2025-09-30T07:00:00,2,NO2
48002002,LAS CARRERAS,INDUSTRIAL,43.31962,-3.0974,true,2025-09-30T07:00:00,1,NO2
48003001,ZELAIETA,FONDO,43.21901,-2.73453,true,2025-09-30T07:00:00,2,PM2.5
48013006,BARAKALDO,FONDO,43.2984,-2.9871,true,2025-09-30T07:00:00,20,PM10
48013007,CASTREJANA,INDUSTRIAL,43.25811,-2.97344,true,2025-09-30T07:00:00,1,O3
48015002,BASAURI,INDUSTRIAL,43.2411,-2.8837,true,2025-09-30T07:00:00,1,PM10
48020003,PARQUE EUROPA,FONDO,43.2549,-2.9023,true,2025-09-30T07:00:00,1,PM2.5
48020006,DIRECCIÓN DE SALUD,TRAFICO,43.25883,-2.94565,true,2025-09-30T07:00:00,1,PM2.5
48020062,MAZARREDO,TRAFICO,43.2675,-2.9352,true,2025-09-30T07:00:00,1,NO2
48020066,ARRAIZ,FONDO,43.24558,-2.96048,true,2025-09-30T07:00:00,2,O3
48027001,DURANGO,INDUSTRIAL,43.16832,-2.63794,true,2025-09-30T07:00:00,2,PM2.5
