FID,ID_ESTACIO,CODI_GRUP_ESTACIO,NOM_ESTACIO,PICTO,DATA,GEOMETRY
ESTACIONS.214,214,6660214,Tetuan,L2,2025-10-05,POINT (2.175559181787991 41.394887450597096)
ESTACIONS.215,215,6660215,Monumental,L2,2025-10-05,POINT (2.1794616714099684 41.40052374172786)
ESTACIONS.216,216,6660216,Sagrada Família,L2L5,2025-10-05,POINT (2.1744904092907813 41.4044190945986)
ESTACIONS.217,217,6660217,Encants,L2,2025-10-05,POINT (2.182700370252568 41.40723597843338)
ESTACIONS.219,219,6660219,Bac de Roda,L2,2025-10-05,POINT (2.1955032531185723 41.41516206251577)
ESTACIONS.220,220,6660220,Sant Martí,L2,2025-10-05,POINT (2.2007239139818875 41.419063621458996)
ESTACIONS.221,221,6660221,La Pau,L2L4,2025-10-05,POINT (2.2058782008215694 41.42325111713883)
ESTACIONS.222,222,6660222,Verneda,L2,2025-10-05,POINT (2.209883422365895 41.43000446400387)
ESTACIONS.223,223,6660223,Artigues | Sant Adrià,L2,2025-10-05,POINT (2.217771760065826 41.43384822541837)
ESTACIONS.224,224,6660224,Sant Roc,L2,2025-10-05,POINT (2.22860617965681 41.43583082252647)
ESTACIONS.225,225,6660225,Gorg,L2L10N,2025-10-05,POINT (2.2338070592317414 41.440259861510704)
ESTACIONS.226,226,6660226,Pep Ventura,L2,2025-10-05,POINT (2.237959375095989 41.4439045741019)
ESTACIONS.227,227,6660227,Badalona Pompeu Fabra,L2,2025-10-05,POINT (2.244099157218408 41.449052604746285)
ESTACIONS.314,314,6660314,Zona Universitària,L3L9S,2025-10-05,POINT (2.111388924148772 41.38400257249017)
ESTACIONS.315,315,6660315,Palau Reial,L3,2025-10-05,POINT (2.118538181084618 41.385980056620134)
ESTACIONS.316,316,6660316,Maria Cristina,L3,2025-10-05,POINT (2.125791232923749 41.38781569227959)
ESTACIONS.317,317,6660317,Les Corts,L3,2025-10-05,POINT (2.1308710146162624 41.384119684361195)
ESTACIONS.318,318,6660318,Plaça del Centre,L3,2025-10-05,POINT (2.1358837134051947 41.38192170670766)
ESTACIONS.319,319,6660319,Sants Estació,L3L5,2025-10-05,POINT (2.141892378878913 41.380961180119144)
ESTACIONS.320,320,6660320,Tarragona,L3,2025-10-05,POINT (2.1453357748823865 41.378493002424634)
ESTACIONS.322,322,6660322,Poble Sec,L3,2025-10-05,POINT (2.1602448223915327 41.374996204246344)
ESTACIONS.324,324,6660324,Drassanes,L3,2025-10-05,POINT (2.1756641701931962 41.37653760970823)
ESTACIONS.325,325,6660325,Liceu,L3,2025-10-05,POINT (2.1730302773575945 41.3814454250764)
ESTACIONS.328,328,6660328,Diagonal,L3L5,2025-10-05,POINT (2.160443763922243 41.395676604785294)
ESTACIONS.329,329,6660329,Fontana,L3,2025-10-05,POINT (2.1530224404295164 41.40200887904024)
ESTACIONS.330,330,6660330,Lesseps,L3,2025-10-05,POINT (2.1504071221317904 41.405738025515355)
ESTACIONS.331,331,6660331,Vallcarca,L3,2025-10-05,POINT (2.144337309169914 41.411974951406016)
ESTACIONS.332,332,6660332,Penitents,L3,2025-10-05,POINT (2.140971786114312 41.41827911730064)
ESTACIONS.333,333,6660333,Vall d'Hebron,L3L5,2025-10-05,POINT (2.1425147148937467 41.425123138465146)
ESTACIONS.334,334,6660334,Montbau,L3,2025-10-05,POINT (2.145039277808795 41.43062015567553)
ESTACIONS.335,335,6660335,Mundet,L3,2025-10-05,POINT (2.1484718023518736 41.435645266968535)
ESTACIONS.336,336,6660336,Valldaura,L3,2025-10-05,POINT (2.1568778304495613 41.437996077035756)
ESTACIONS.337,337,6660337,Canyelles,L3,2025-10-05,POINT (2.166387551719736 41.44175372856857)
ESTACIONS.338,338,6660338,Roquetes,L3,2025-10-05,POINT (2.1760976903706806 41.44766967770127)
ESTACIONS.339,339,6660339,Trinitat Nova,L3L4L11,2025-10-05,POINT (2.1828552069968574 41.449762105902664)
ESTACIONS.414,414,6660414,Besòs,L4,2025-10-05,POINT (2.210301299420953 41.419835530278384)
ESTACIONS.415,415,6660415,Besòs Mar,L4,2025-10-05,POINT (2.216081591411872 41.415098995619424)
ESTACIONS.416,416,6660416,El Maresme | Fòrum,L4,2025-10-05,POINT (2.216548081875298 41.411685717467044)
ESTACIONS.417,417,6660417,Selva de Mar,L4,2025-10-05,POINT (2.209122498871073 41.40800151156723)
